=================================================
BRAZILIAN SOUTHERN EQUIVALENT SYSTEM - 2017-2025
=================================================
---------------------
BUS DATA 
---------------------
BUS NO.: Bus number
NG: Number of generating units
PGMAX: Maximum generation capacity [MW]
PGMIN: Minimum generation capacity [MW]
PGDESP: Generation dispatch [MW]
LOAD: Load [MW]
TP: Bus type
COST: Production cost [$/MWH]
FAILR: Failure rate [OCC./Y]
MTTR: Mean time to repair [H]

x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
BUS   NG PGMAX   PGMIN   PGDESP    LOAD   TP COST  FAILR    MTTR
NO.      MW      MW      MW        MW        $/MWH OCC./Y   H 
x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
04290 01  236.50  193.50  215.0000 000.00 02 21.00 06.00000 040.00000 1
06190 00  000.00  000.00  000.0000 044.00 01 00.00 00.00000 000.00000 1
06601 00  000.00  000.00  000.0000 160.00 01 00.00 00.00000 000.00000 1
06602 00  000.00  000.00  000.0000 046.00 01 00.00 00.00000 000.00000 1
06603 00  000.00  000.00  000.0000 078.00 01 00.00 00.00000 000.00000 1
06608 01  327.80  268.20  298.0000 000.00 02 16.00 06.00000 040.00000 1
06615 00  000.00  000.00  000.0000 207.00 01 00.00 00.00000 000.00000 1
06616 00  000.00  000.00  000.0000 211.00 01 00.00 00.00000 000.00000 1
06617 00  000.00  000.00  000.0000 204.00 01 00.00 00.00000 000.00000 1
06618 00  000.00  000.00  000.0000 181.00 01 00.00 00.00000 000.00000 1
06619 00  000.00  000.00  000.0000 150.00 01 00.00 00.00000 000.00000 1
06623 00  000.00  000.00  000.0000 026.00 01 00.00 00.00000 000.00000 1
06624 00  000.00  000.00  000.0000 266.00 01 00.00 00.00000 000.00000 1
06625 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
06626 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
06627 00  000.00  000.00  000.0000 145.00 01 00.00 00.00000 000.00000 1
06628 00  000.00  000.00  000.0000 196.00 01 00.00 00.00000 000.00000 1
06629 00  000.00  000.00  000.0000 014.00 01 00.00 00.00000 000.00000 1
06630 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
06649 01 1619.20 1324.80 1472.0000 000.00 03 53.00 06.00000 040.00000 1
06651 00  000.00  000.00  000.0000 032.00 01 00.00 00.00000 000.00000 1
06652 00  000.00  000.00  000.0000 117.00 01 00.00 00.00000 000.00000 1
06653 00  000.00  000.00  000.0000 126.00 01 00.00 00.00000 000.00000 1
06662 01 1551.00 1269.00 1410.0000 000.00 02 01.00 06.00000 040.00000 1
06663 01  147.40  120.60  134.0000 000.00 02 29.00 06.00000 040.00000 1
06664 01  193.60  158.40  176.0000 000.00 02 24.00 06.00000 040.00000 1
06665 00  000.00  000.00  000.0000 181.00 01 00.00 00.00000 000.00000 1
06673 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
06680 00  000.00  000.00  000.0000 228.00 01 00.00 00.00000 000.00000 1
06688 00  000.00  000.00  000.0000 255.00 01 00.00 00.00000 000.00000 1
06708 00  000.00  000.00  000.0000 174.00 01 00.00 00.00000 000.00000 1
06710 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
06715 01  324.50  265.50  295.0000 000.00 02 17.00 06.00000 040.00000 1
06730 00  000.00  000.00  000.0000 073.00 01 00.00 00.00000 000.00000 1
06731 00  000.00  000.00  000.0000 102.00 01 00.00 00.00000 000.00000 1
06732 00  000.00  000.00  000.0000 124.00 01 00.00 00.00000 000.00000 1
06733 00  000.00  000.00  000.0000 139.00 01 00.00 00.00000 000.00000 1
06747 00  000.00  000.00  000.0000 013.00 01 00.00 00.00000 000.00000 1
06754 00  000.00  000.00  000.0000 267.00 01 00.00 00.00000 000.00000 1
06755 01 1157.20  946.80 1052.0000 000.00 02 06.00 06.00000 040.00000 1
06757 01 1167.10  954.90 1061.0000 000.00 02 05.00 06.00000 040.00000 1
06758 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
06759 00  000.00  000.00  000.0000 003.00 01 00.00 00.00000 000.00000 1
06761 00  000.00  000.00  000.0000 171.00 01 00.00 00.00000 000.00000 1
06762 00  000.00  000.00  000.0000 121.00 01 00.00 00.00000 000.00000 1
06763 00  000.00  000.00  000.0000 032.00 01 00.00 00.00000 000.00000 1
06764 00  000.00  000.00  000.0000 170.00 01 00.00 00.00000 000.00000 1
06854 00  000.00  000.00  000.0000 173.00 01 00.00 00.00000 000.00000 1
07000 00  000.00  000.00  000.0000 220.00 01 00.00 00.00000 000.00000 1
07001 01  013.20  010.80  012.0000 023.00 02 52.00 06.00000 040.00000 1
07015 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07020 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07021 00  000.00  000.00  000.0000 020.00 01 00.00 00.00000 000.00000 1
07022 00  000.00  000.00  000.0000 043.00 01 00.00 00.00000 000.00000 1
07023 00  000.00  000.00  000.0000 050.00 01 00.00 00.00000 000.00000 1
